DataLength;Bubble sort steps;Bubble sort memory;Quick sort steps;Quick sort memory;Merge sort steps;Merge sort memory;
322;156809;12;3106;4208;6059;15968;
323;148315;12;2916;4080;6081;16024;
324;157670;12;2777;4048;6103;16080;
325;155654;12;3034;4304;6125;16136;
326;161971;12;3093;4384;6147;16192;
327;159481;12;3182;4208;6169;16248;
328;161376;12;2994;4160;6191;16304;
329;164884;12;3039;4176;6213;16360;
330;167973;12;2822;4432;6235;16416;
331;164751;12;2722;4160;6257;16472;
332;161866;12;3067;4448;6279;16528;
333;168518;12;3142;4432;6301;16584;
334;169427;12;2741;4352;6323;16640;
335;176773;12;3309;4352;6345;16696;
336;162916;12;3255;4368;6367;16752;
337;165916;12;2888;4368;6389;16808;
338;169821;12;3269;4464;6411;16864;
339;170819;12;3086;4400;6433;16920;
340;164278;12;3139;4496;6455;16976;
341;168966;12;3017;4432;6477;17032;
342;176483;12;3058;4384;6499;17088;
343;170957;12;3003;4448;6521;17144;
344;172892;12;3041;4496;6543;17200;
345;181796;12;3631;4464;6565;17256;
346;174957;12;3122;4544;6587;17312;
347;188599;12;3587;4576;6609;17368;
348;175790;12;3270;4496;6631;17424;
349;181278;12;3124;4528;6653;17480;
350;182039;12;3130;4528;6675;17536;
351;184513;12;3216;4544;6697;17592;
352;179464;12;3349;4672;6719;17648;
353;183392;12;3343;4400;6741;17704;
354;189589;12;3441;4640;6763;17760;
355;184227;12;3110;4720;6785;17816;
356;191050;12;3281;4656;6807;17872;
357;189850;12;3364;4512;6829;17928;
358;190191;12;3082;4768;6851;17984;
359;185005;12;3161;4656;6873;18040;
360;191780;12;3588;4864;6895;18096;
361;184752;12;3428;4784;6917;18152;
362;197885;12;3374;4704;6939;18208;
363;194243;12;3194;4736;6961;18264;
364;195402;12;3668;4608;6983;18320;
365;197402;12;3422;4656;7005;18376;
366;197927;12;4030;4672;7027;18432;
367;201145;12;3339;4960;7049;18488;
368;198528;12;3849;4736;7071;18544;
369;203520;12;3557;4624;7093;18600;
370;207125;12;3430;4832;7115;18656;
371;203819;12;3439;4832;7137;18712;
372;199458;12;3493;4896;7159;18768;
373;209662;12;3289;4688;7181;18824;
374;211179;12;3397;4944;7203;18880;
375;214193;12;3210;4672;7225;18936;
376;206368;12;3266;4880;7247;18992;
377;214656;12;3503;4816;7269;19048;
378;207301;12;3540;4880;7291;19104;
379;222467;12;3464;4992;7313;19160;
380;212762;12;3625;5008;7335;19216;
381;218302;12;3765;5040;7357;19272;
382;218183;12;3734;5056;7379;19328;
383;220505;12;3402;4800;7401;19384;
384;223796;12;3578;5008;7423;19440;
385;217364;12;3907;4992;7445;19496;
386;223077;12;3732;5184;7467;19552;
387;222563;12;4144;4800;7489;19608;
388;222918;12;3310;4880;7511;19664;
389;226166;12;4201;5056;7533;19720;
390;228171;12;3857;4944;7555;19776;
391;234193;12;3650;4992;7577;19832;
392;227268;12;3769;5152;7599;19888;
393;224872;12;3366;4992;7621;19944;
394;244829;12;3717;5056;7643;20000;
395;227891;12;3681;5200;7665;20056;
396;232466;12;3605;5072;7687;20112;
397;231246;12;3860;5040;7709;20168;
398;232559;12;3711;5072;7731;20224;
399;239433;12;3483;5152;7753;20280;
400;238044;12;3627;5136;7775;20336;
401;238076;12;3647;5424;7797;20392;
402;244933;12;3776;5184;7819;20448;
403;233943;12;3710;5296;7841;20504;
404;233022;12;3490;5168;7863;20560;
405;239818;12;3956;5264;7885;20616;
406;241307;12;3761;5200;7907;20672;
407;245913;12;3656;5216;7929;20728;
408;249804;12;3919;5216;7951;20784;
409;241844;12;3709;5168;7973;20840;
410;251865;12;3969;5184;7995;20896;
411;250599;12;3755;5392;8017;20952;
412;255258;12;4155;5344;8039;21008;
413;258562;12;3945;5264;8061;21064;
414;256251;12;3718;5392;8083;21120;
415;250049;12;4140;5280;8105;21176;
416;250876;12;3637;5312;8127;21232;
417;251652;12;3836;5488;8149;21288;
418;258789;12;4328;5296;8171;21344;
419;260095;12;3814;5504;8193;21400;
420;260166;12;3944;5184;8215;21456;
421;270818;12;4018;5440;8237;21512;
422;275031;12;3753;5280;8259;21568;
423;261781;12;4603;5440;8281;21624;
424;263172;12;3687;5456;8303;21680;
425;257760;12;3918;5648;8325;21736;
426;275337;12;3706;5312;8347;21792;
427;270431;12;3819;5408;8369;21848;
428;273210;12;3942;5296;8391;21904;
429;269238;12;3761;5536;8413;21960;
430;280203;12;3983;5728;8435;22016;
431;272945;12;3927;5744;8457;22072;
432;279688;12;4154;5632;8479;22128;
433;281584;12;4896;5408;8501;22184;
434;278277;12;3829;5472;8523;22240;
435;288855;12;3961;5728;8545;22296;
436;283998;12;3695;5632;8567;22352;
437;279254;12;3948;5776;8589;22408;
438;292547;12;3701;5648;8611;22464;
439;302113;12;3981;5648;8633;22520;
440;289912;12;4922;5648;8655;22576;
441;279940;12;4167;5568;8677;22632;
442;291369;12;4131;5552;8699;22688;
443;294015;12;4021;5680;8721;22744;
444;296714;12;3940;5712;8743;22800;
445;285906;12;3873;5600;8765;22856;
446;287995;12;4292;5632;8787;22912;
447;288025;12;4073;5792;8809;22968;
448;289600;12;4263;5776;8831;23024;
449;297088;12;4128;5776;8853;23080;
450;311461;12;4164;5840;8875;23136;
451;311443;12;3915;5696;8897;23192;
452;307382;12;4377;5728;8919;23248;
453;304562;12;4500;5936;8941;23304;
454;309231;12;4039;5776;8963;23360;
455;317481;12;4308;5840;8985;23416;
456;310212;12;4217;5824;9007;23472;
457;309884;12;4208;5856;9029;23528;
458;318781;12;4310;5952;9051;23584;
459;312919;12;4048;6032;9073;23640;
460;314818;12;4344;5904;9095;23696;
461;317718;12;4591;5872;9117;23752;
462;320711;12;4976;6032;9139;23808;
463;327957;12;4400;5920;9161;23864;
464;332284;12;4862;6048;9183;23920;
465;312444;12;4582;5952;9205;23976;
466;310305;12;4366;5968;9227;24032;
467;321279;12;4637;5936;9249;24088;
468;325614;12;4581;6016;9271;24144;
469;322422;12;4209;5872;9293;24200;
470;333027;12;4050;5968;9315;24256;
471;335505;12;4205;5920;9337;24312;
472;335244;12;4238;5904;9359;24368;
473;321892;12;4412;6224;9381;24424;
474;342961;12;4264;5936;9403;24480;
475;346671;12;4494;5952;9425;24536;
476;340478;12;4432;6176;9447;24592;
477;338254;12;4079;6128;9469;24648;
478;334831;12;5367;6208;9491;24704;
479;342133;12;4538;6160;9513;24760;
480;337780;12;4467;6256;9535;24816;
481;338644;12;5442;6224;9557;24872;
482;350829;12;4354;6192;9579;24928;
483;343407;12;4395;6112;9601;24984;
484;361362;12;4556;6064;9623;25040;
485;343630;12;4868;6064;9645;25096;
486;349063;12;4648;6352;9667;25152;
487;350933;12;5363;6064;9689;25208;
488;347740;12;4560;6288;9711;25264;
489;349828;12;4665;6256;9733;25320;
490;352189;12;5559;6304;9755;25376;
491;369311;12;4609;6112;9777;25432;
492;366922;12;4680;6304;9799;25488;
493;350118;12;4650;6608;9821;25544;
494;366783;12;4541;6272;9843;25600;
495;359961;12;4483;6432;9865;25656;
496;365020;12;4880;6176;9887;25712;
497;355388;12;4525;6464;9909;25768;
498;374153;12;5018;6368;9931;25824;
499;369663;12;5015;6272;9953;25880;
500;367030;12;4928;6368;9975;25936;
501;371110;12;4569;6448;9997;25992;
502;373087;12;4785;6544;10019;26048;
503;389917;12;4446;6480;10041;26104;
504;379904;12;5042;6416;10063;26160;
505;376836;12;4597;6288;10085;26216;
506;402281;12;4759;6256;10107;26272;
507;376663;12;4668;6384;10129;26328;
508;392738;12;5498;6464;10151;26384;
509;393102;12;4960;6416;10173;26440;
510;388423;12;4646;6464;10195;26496;
511;388885;12;4886;6688;10217;26552;
512;391852;12;4978;6416;10239;26608;
513;400032;12;4482;6480;10263;26668;
514;383905;12;4605;6512;10287;26728;
515;392251;12;5177;6528;10311;26788;
516;399262;12;5048;6480;10335;26848;
517;405730;12;5195;6704;10359;26908;
518;398459;12;5296;6640;10383;26968;
